space_group,n_formula,material,n_primitive,mp_id,sigmaA_300,sigmaA_500,sigmaA_700,source,kappa_exp,bandgap,kappa_bte,ref_exp,ref_bte,kappa_aiGK,comment,use
56,5,Sb2O3,20,mp-2136,0.2813984703,,,Ramprasad,,1.8,,,,r,,y
61,2,ZnSb,16,mp-753,0.31,,,Ramprasad,3.5,0.38562664,,Bjerg: https://journals.aps.org/prb/pdf/10.1103/PhysRevB.89.024304,,,,y
62,2,SnSe,8,mp-691,0.35,,,Toberer,0.6,0.2806616,1.0-1.5,Zhao,"Carrete(LDA), Skelton(PBEsol), Guo(LDA)",r,,y
62,3,BaSi2,24,mp-1477,0.25,,,Springer,1.4-1.6,1.82331567,,"Hashimoto, Spitzer",,r,,y
62,4,CuSbSe2,,mp-20331,,,,Springer,2,0.37515474,,Li,,,,y
62,5,KCaF3,20,mp-5926,0.37,,,Roekeghem,,6.19047513,,,,y,,y
62,5,KCdF3,20,mp-9628,0.4,,,Roekeghem,,2.96425985,,,,,,y
122,4,AgAlS2,8,mp-5782,0.28,0.36,0.42,ICSD_exp,,1.80105873,,,,,,y
122,4,AgAlSe2,8,mp-14091,0.27,0.35,0.41,ICSD_exp,,1.03742556,,,,,,y
122,4,AgAlTe2,8,mp-14092,0.29,0.36,0.43,ICSD_exp,,1.04482846,,,,,,y
122,4,AgGaS2,8,mp-5342,0.3,0.37,0.43,Ramprasad,1.4-2.6,0.89869162,,"Beasley, Rincon",,r,,y
122,4,AgGaSe2,8,mp-5518,0.3,0.39,0.45,Springer,4.8,0.18975541,,"Beasley, Garbato",,,bandluecke,
122,4,AlCuS2,8,mp-4979,0.24,0.31,0.37,ICSD_exp,,1.69179405,,,,,,y
122,4,AlCuSe2,8,mp-8016,0.28,0.36,0.43,ICSD_exp,,0.86664778,,,,,,y
122,4,AlLiTe2,8,mp-4586,0.26,0.32,0.37,ICSD_exp,,2.23240412,,,,,,y
122,4,CuInS2,8,mp-22736,0.29,0.38,0.44,ICSD_exp,,0.56984052,,,,,,y
122,4,GaLiTe2,8,mp-5048,0.27,0.33,0.38,ICSD_exp,,1.6591436,,,,,,y
122,4,InLiTe2,8,mp-20782,0.26,0.32,0.37,ICSD_exp,,1.41808955,,,,,,y
160,2,InSe,,mp-22691,,,,Toberer,1.8,0.3796121,,,,,,y
164,2,MgSb,5,mp-2646,0.31,,,Springer,4.2,0.21912998,,"Condron, Zhang",,r,bandluecke,
166,4,Ba2BrN,4,mp-1018098,0.41,0.53,0.61,ICSD_exp,,0.99814619,,,,,,y
166,4,Ba2ClP,4,mp-27869,0.29,0.38,0.45,ICSD_exp,,1.11881228,,,,,,y
166,4,CuGaO2,4,mp-4280,0.21,0.27,0.32,ICSD_exp,,0.83215561,,,,,,y
166,4,CuScO2,4,mp-4636,0.27,0.35,0.42,ICSD_exp,,2.19543495,,,,,,y
166,4,InLiSe2,4,mp-10618,0.35,0.44,0.52,ICSD_exp,,0.7644766,,,,,,y
166,4,InNaO2,4,mp-5175,0.21,0.27,0.33,ICSD_exp,,1.91581589,,,,,,y
166,4,InNaS2,4,mp-20289,0.26,0.34,0.4,ICSD_exp,,1.74737538,,,,,,y
166,4,InNaSe2,4,mp-22473,0.32,0.41,0.48,ICSD_exp,,0.99074379,,,,,,y
166,4,LiF2H,4,mp-24199,0.45,0.55,0.64,ICSD_exp,,8.10826827,,,,,,y
166,4,LiRhO2,4,mp-14115,0.22,0.33,0.42,ICSD_exp,,1.40005495,,,,,,y
166,4,LiScS2,4,mp-1001786,0.28,0.38,0.47,ICSD_exp,,1.3257546,,,,,,y
166,4,NaF2H,4,mp-27837,0.41,0.51,0.57,ICSD_exp,,6.84833584,,,,,,y
166,4,Sr2ClN,4,mp-23033,0.28,0.36,0.43,ICSD_exp,,1.78483615,,,,,,y
166,4,Sr2HN,4,mp-690794,0.3,0.39,0.46,ICSD_exp,,1.72839937,,,,,,y
166,4,Sr2IN,4,mp-569677,0.28,0.37,0.44,ICSD_exp,,1.9059764,,,,,,y
166,5,Bi2Te3,5,mp-34202,0.24,,,Ramprasad,1.6,0.14218602,1.3,Goldsmit,"Hellmann, Broido",,"Z=81, bandluecke",
186,2,AgI,4,mp-22894,0.42,0.52,0.59,Seko,1.03,1.25013003,1.543333333,"[42] M. C. Goetz and J. A. Cowen, Solid State Commun. 41, 293 (1982).",phono3py,,,y
186,2,CdS,4,mp-672,0.27,0.34,0.4,Ramprasad,16,1.09516682,,MorelliSlack,,,,y
186,2,CdSe,4,mp-1070,0.26,0.33,0.38,ICSD_exp,,0.53283994,,,,,,y
186,2,MgTe,4,mp-1039,0.26,0.34,0.39,ICSD_exp,,2.32985921,,,,,,y
186,2,ZnO,4,mp-2133,0.22,0.28,0.33,Ramprasad,60,0.70911085,,MorelliSlack,,,,y
186,2,ZnS,4,mp-560588,0.22,0.28,0.33,ICSD_exp,,2.16024283,,,,,,y
186,2,ZnSe,4,mp-380,0.22,0.28,0.33,ICSD_exp,,1.27885787,,,,,,y
206,5,Sc2O3,40,mp-216,0.23,,,Ramprasad,17,3.86035361,,,,r,,y
216,2,AlAs,2,mp-2172,0.17,0.22,0.26,Ramprasad,98,1.36931463,,MorelliSlack,,,,y
