Material,Space_Group,sigma_md,sigma_os
CaZrO3,62,0.221,0.241
CsCaBr3,62,0.647,0.457
CsSnBr3,62,0.749,0.562
CsSnI3,62,0.486,0.522
KCdF3,62,0.421,0.414
MgNaF3,62,0.264,0.263
NaTaO3,62,0.254,0.224
RbCaF3,62,0.493,0.399
RbCdF3,62,0.483,0.527
SnSrO3,62,0.218,0.23
AgI,186,0.7505729123,0.42
CdS,186,0.2810718715,0.27
CdSe,186,0.306619,0.26
MgTe,186,0.269746,0.26
ZnO,186,0.242933,0.22
ZnS,186,0.238812,0.22
ZnSe,186,0.247908,0.22
AgBr,216,2.64,0.684
AgI,216,0.804,0.407
AlAs,216,0.182222516466747,0.167069966210737
AlSb,216,0.201232347808866,0.201367307037506
BN,216,0.116431742854202,0.103046970884037
C,216,0.089898520372912,0.092329630361413
CdTe,216,0.325704623004499,0.259907212767924
CuBr,216,2.784,0.518
CuCl,216,1.902,0.545
CuI,216,0.411,0.368
GaAs,216,0.184761979714332,0.175684434519243
GaP,216,0.169806596780771,0.169117177934156
GaSb,216,0.201819513314355,0.177013790271879
Ge,216,0.169516023905005,0.157093409148634
InAs,216,0.210491240850143,0.211086520752992
InP,216,0.195656792405616,0.182571666583701
InSb,216,0.235750933078162,0.202311615264308
Si,216,0.151106143147227,0.157438370052872
ZnS,216,0.245736546729316,0.231236474927575
ZnSe,216,0.24533507067093,0.226350295113498
ZnTe,216,0.254219717831729,0.2515762492198
AgBr,225,0.752,0.482
AgCl,225,0.847,0.503
AgI,225,0.623,0.515
BaO,225,0.367352914828342,0.443080534858974
CaO,225,0.197931364412814,0.198718799383266
KBr,225,0.343968831702007,0.411929389397062
KCl,225,0.335498218203066,0.429754923893973
KF,225,0.3301756066308,0.412474432464377
KI,225,0.344933184149966,0.387448773923606
LiBr,225,0.3662291945105,0.401189793921955
LiF,225,0.285229445129627,0.300616449354355
LiH,225,0.266041485237301,0.262372044132807
MgO,225,0.175771578393555,0.167981208660985
NaBr,225,0.326583241530214,0.385817003211566
NaCl,225,0.314871626290928,0.364714566949935
NaF,225,0.284889634208522,0.330600239906093
NaI,225,0.359920903234046,0.357296831068463
PbS,225,0.327709208485574,0.292594511251436
PbSe,225,0.303681374869512,0.259133121277507
PbTe,225,0.313958315297816,0.283775490839369
RbBr,225,0.349655373624771,0.437196543631341
RbCl,225,0.358710870021847,0.362383122651541
RbF,225,0.3599281207097,0.394366777941933
RbI,225,0.365410640731224,0.405046071272923
SrO,225,0.223774117707778,0.216452618430113
