Material,Space_Group,kappa_L,sigma_a,sigma_a_no_nmh,sigma_a_os
AlN,186,350,0.140683846634764,0.140683846634764,0.140683846634764
BeO,186,370,0.1617811475138,0.1617811475138,0.1617811475138
CdS,186,16,0.2810718715,0.2810718715,0.27356194833333
CSi,186,490,0.118478983884852,0.118478983884852,0.118478983884852
GaN,186,210,0.150501419718295,0.150501419718295,0.150501419718295
ZnO,186,60,0.242933,0.242933,0.217910995658723
AlAs,216,98,0.182222516466747,0.182222516466747,0.167123629572198
AlP,216,90,0.171934877943805,0.171934877943805,0.171934877943805
AlSb,216,56,0.201232347808866,0.201232347808866,0.201370438835474
BN,216,760,0.116431742854202,0.116431742854202,0.103131231858279
BP,216,350,0.111075817690411,0.111075817690411,0.111075817690411
C,216,3000,0.089898520372912,0.089898520372912,0.092253687906409
CdTe,216,7.5,0.325704623004499,0.325704623004499,0.25990642745309
CSi,216,360,0.119212274216669,0.119212274216669,0.119212274216669
GaAs,216,45,0.184761979714332,0.184761979714332,0.175706246004517
GaP,216,100,0.169806596780771,0.169806596780771,0.169090400343634
GaSb,216,40,0.201819513314355,0.201819513314355,0.177027712023519
Ge,216,65,0.169516023905005,0.169516023905005,0.15711713382207
InAs,216,30,0.210491240850143,0.210491240850143,0.211248651634974
InP,216,93,0.195656792405616,0.195656792405616,0.18255660345153
InSb,216,20,0.235750933078162,0.235750933078162,0.202321192551841
Si,216,166,0.151106143147227,0.151106143147227,0.157459669965709
ZnS,216,27,0.245736546729316,0.245736546729316,0.2313541388523
ZnSe,216,19,0.24533507067093,0.24533507067093,0.226367825633611
ZnTe,216,18,0.254219717831729,0.254219717831729,0.251564825125909
AgBr,225,1.1,0.752,,0.482472643271948
AgCl,225,1,0.847,,0.503497756547897
BaO,225,2.3,0.367352914828342,0.367352914828342,0.443173704347637
CaO,225,30,0.197931364412814,0.197931364412814,0.198799712802587
KBr,225,3.4,0.343968831702007,0.343968831702007,0.411930882522067
KCl,225,7.1,0.335498218203066,0.335498218203066,0.429757146840552
KI,225,2.6,0.344933184149966,0.344933184149966,0.391485583410003
LiF,225,17.6,0.285229445129627,0.285229445129627,0.300602268191939
LiH,225,15,0.266041485237301,0.266041485237301,0.262373885476259
MgO,225,60,0.175771578393555,0.175771578393555,0.167996250519798
NaBr,225,2.8,0.326583241530214,0.326583241530214,0.385814214667037
NaCl,225,7.1,0.314871626290928,0.314871626290928,0.364716390440438
NaF,225,18.4,0.284889634208522,0.284889634208522,0.330606774698176
NaI,225,1.8,0.359920903234046,0.359920903234046,0.35729722791139
PbS,225,2.9,0.327709208485574,0.327709208485574,0.292621745083562
PbSe,225,2,0.303681374869512,0.303681374869512,0.259143699913427
PbTe,225,2.5,0.313958315297816,0.313958315297816,0.292117046081067
RbBr,225,3.8,0.349655373624771,0.349655373624771,0.437197108835143
RbCl,225,2.8,0.358710870021847,0.358710870021847,0.362394755402398
RbI,225,2.3,0.365410640731224,0.365410640731224,0.410908942622064
SrO,225,10,0.223774117707778,0.223774117707778,0.216562914024712
CdSe,216,4.4,,,0.285461123342792
HgSe,216,3,,,0.588236650495513
HgTe,216,2.5,,,0.346289468390799
CsBr,221,0.94,,,0.41534605739097
CsCl,221,1,,,0.391701234228938
CsI,221,1.1,,,0.398105865193857
KF,225,6.43,0.3301756066308,0.3301756066308,0.412474430312737
LiBr,225,1.83,0.3662291945105,0.3662291945105,0.40017319228561
MgSe,225,7.69,,,0.305226316348031
RbF,225,2.27,0.3599281207097,0.3599281207097,0.40994345322917
