,reference,deformed
2.5,7.26335523128018e-201,1.9526019980906346e-162
2.5044088176352703,4.129578134639047e-198,5.061704187407792e-160
2.508817635270541,2.2470224532753775e-195,1.2579218914042738e-157
2.5132264529058115,1.1701524822089023e-192,2.9969843646198643e-155
2.5176352705410823,5.831910173882533e-190,6.845247769579166e-153
2.5220440881763526,2.781714254508908e-187,1.4988831125920898e-150
2.5264529058116234,1.26983568643619e-184,3.1464458800829143e-148
2.5308617234468938,5.547736971904326e-182,6.332084154985831e-146
2.5352705410821645,2.319623601490313e-179,1.221650593158799e-143
2.539679358717435,9.282233695332278e-177,2.2595464352306036e-141
2.5440881763527052,3.5548460755271476e-174,4.006539872960996e-139
2.548496993987976,1.3029340266403945e-171,6.810697877717885e-137
2.5529058116232464,4.570433295498283e-169,1.109909888330479e-134
2.557314629258517,1.5343542744785374e-166,1.7340347514157167e-132
2.5617234468937875,4.929776660028234e-164,2.597178849044408e-130
2.5661322645290583,1.5158707243984158e-161,3.7292364194570225e-128
2.5705410821643286,4.460981394137698e-159,5.133481380542892e-126
2.5749498997995994,1.2564117335777654e-156,6.774513268783834e-124
2.5793587174348698,3.386623216658597e-154,8.570738719477678e-122
2.58376753507014,8.736452210788425e-152,1.0395191305836203e-119
2.588176352705411,2.156933011027748e-149,1.2087063731674215e-117
2.5925851703406813,5.096494229414218e-147,1.3473587852247134e-115
2.596993987975952,1.152496845277974e-144,1.4398586278138132e-113
2.6014028056112224,2.4942574812610986e-142,1.4751311235030245e-111
2.605811623246493,5.1662587347242765e-140,1.4488239314939254e-109
2.6102204408817635,1.0241046865206344e-137,1.3641899439666044e-107
2.614629258517034,1.9428795979412304e-135,1.2314261296192767e-105
2.6190380761523047,3.5276115563992266e-133,1.0656539944479607e-103
2.623446893787575,6.12983750143726e-131,8.840940126562766e-102
2.627855711422846,1.0194137915654679e-128,7.031615487018155e-100
2.632264529058116,1.6225025491411047e-126,5.3614994857501324e-98
2.636673346693387,2.4714601533825863e-124,3.91915082090873e-96
2.6410821643286573,3.6029246733819254e-122,2.746453863113724e-94
2.645490981963928,5.0267825533677646e-120,1.845131563394046e-92
2.6498997995991984,6.7120991922863865e-118,1.1883849722066836e-90
2.6543086172344688,8.577485374607455e-116,7.337731890112946e-89
2.6587174348697395,1.0490470422656878e-113,4.34351677195838e-87
2.66312625250501,1.2279008564349433e-111,2.4648826777730918e-85
2.6675350701402807,1.3755139736765519e-109,1.340992073121922e-83
2.671943887775551,1.4746877815665624e-107,6.994094725886148e-82
2.676352705410822,1.5131031439716249e-105,3.497134191719023e-80
2.680761523046092,1.485834260409528e-103,1.676365575169096e-78
2.685170340681363,1.396386341624918e-101,7.70372899234349e-77
2.6895791583166333,1.25595538917065e-99,3.3939800061765575e-75
2.6939879759519036,1.0811258245965888e-97,1.433487125942072e-73
2.6983967935871744,8.906594589557563e-96,5.804365918273797e-72
2.702805611222445,7.022318998096296e-94,2.253162409688865e-70
2.7072144288577156,5.2988650783456746e-92,8.385080224714447e-69
2.711623246492986,3.8266489288473165e-90,2.991570696386623e-67
2.7160320641282567,2.6447696034710917e-88,1.0232199184266707e-65
2.720440881763527,1.7494057581419254e-86,3.3551871170880356e-64
2.7248496993987974,1.1074567096395041e-84,1.0547340479861923e-62
2.729258517034068,6.709597776972679e-83,3.178689473757794e-61
2.7336673346693385,3.8904492667578556e-81,9.18401666640513e-60
2.7380761523046093,2.1589202211941362e-79,2.5438833831971664e-58
2.7424849699398797,1.1465870364087532e-77,6.755263907937004e-57
2.7468937875751505,5.827886517286891e-76,1.7197633961713565e-55
2.751302605210421,2.8349722094173805e-74,4.1973683352874343e-54
2.7557114228456916,1.319836771254659e-72,9.821284217427158e-53
2.760120240480962,5.880650679970228e-71,2.2031455678289056e-51
2.7645290581162323,2.5076350336653004e-69,4.738084653288877e-50
2.768937875751503,1.0233804469934089e-67,9.76895798050194e-49
2.7733466933867734,3.997088825378608e-66,1.9309929021899008e-47
2.777755511022044,1.4941164487257297e-64,3.659328981171296e-46
2.7821643286573146,5.345140547272458e-63,6.648321986611096e-45
2.7865731462925853,1.8300709462821765e-61,1.158014689776851e-43
2.7909819639278557,5.996680731514616e-60,1.9337900380564746e-42
2.7953907815631265,1.8805644882650045e-58,3.0959916024123815e-41
2.799799599198397,5.644168193896225e-57,4.752122437219595e-40
2.804208416833667,1.6212358486041354e-55,6.993189201590437e-39
2.808617234468938,4.456840791026136e-54,9.866552160806772e-38
2.8130260521042083,1.172581031586903e-52,1.334630330757513e-36
2.817434869739479,2.952525103262052e-51,1.7308732655859602e-35
2.8218436873747494,7.115075456205209e-50,2.152196262123002e-34
2.8262525050100202,1.6409706235367805e-48,2.5657527518604017e-33
2.8306613226452906,3.6220773339624387e-47,2.932705788599328e-32
2.8350701402805614,7.651569079611025e-46,3.2140147400297676e-31
2.8394789579158317,1.5469612912948687e-44,3.3772122049258985e-30
2.843887775551102,2.9932629205518736e-43,3.4025615345731163e-29
2.848296593186373,5.543028527604695e-42,3.286983083090589e-28
2.852705410821643,9.823959939336456e-41,3.0446699064274914e-27
2.857114228456914,1.66634034427452e-39,2.704222744639285e-26
2.8615230460921843,2.70507292774901e-38,2.3031029470905307e-25
2.865931863727455,4.20274391458678e-37,1.8808884373061477e-24
2.8703406813627255,6.249224953525512e-36,1.4730001674767052e-23
2.8747494989979963,8.89322611605743e-35,1.1062293153968814e-22
2.8791583166332666,1.2112483466105768e-33,7.967169763076003e-22
2.883567134268537,1.5788779816991517e-32,5.502943017285112e-21
2.8879759519038077,1.969728468194642e-31,3.6453164599995567e-20
2.892384769539078,2.351839027493511e-30,2.3160286129800244e-19
2.896793587174349,2.687530428981282e-29,1.4113750289197131e-18
2.901202404809619,2.9393073905584675e-28,8.250011523965038e-18
2.90561122244489,3.0766906707098524e-27,4.626012550910959e-17
2.9100200400801604,3.082275260521991e-26,2.488448913943965e-16
2.914428857715431,2.955353810582929e-25,1.284260912824801e-15
2.9188376753507015,2.712063939357096e-24,6.359414787071108e-15
2.923246492985972,2.382017049627079e-23,3.0217698238971017e-14
2.9276553106212426,2.002380722466807e-22,1.3779443747874074e-13
2.932064128256513,1.611045852899071e-21,6.030858275210519e-13
2.9364729458917838,1.2405991979338312e-20,2.533732014181403e-12
2.940881763527054,9.143672212866113e-20,1.0219743052051508e-11
2.945290581162325,6.450285212498527e-19,3.958111639446444e-11
2.9496993987975952,4.35522151803521e-18,1.4722587219820495e-10
2.954108216432866,2.8146151021831605e-17,5.260374991627504e-10
2.9585170340681364,1.741045232396454e-16,1.805861135265565e-09
2.9629258517034067,1.0308339987388428e-15,5.957950873802218e-09
2.9673346693386775,5.841992406834288e-15,1.8896292324710087e-08
2.971743486973948,3.169081317645268e-14,5.763138946364787e-08
2.9761523046092186,1.645557942061841e-13,1.690809680849971e-07
2.980561122244489,8.179154226419193e-13,4.773638692522593e-07
2.9849699398797593,3.8915973284508596e-12,1.2974965770633217e-06
2.98937875751503,1.7724804388708467e-11,3.3967590541701763e-06
2.993787575150301,7.728226417976823e-11,8.56924830176369e-06
2.9981963927855713,3.22578135515055e-10,2.0843719806088988e-05
3.0026052104208416,1.2890203893017672e-09,4.891182186808092e-05
3.0070140280561124,4.931383545146763e-09,0.00011079623260589363
3.0114228456913827,1.8062492913696973e-08,0.00024243048461465114
3.0158316633266535,6.334375735396725e-08,0.0005127284514466556
3.020240480961924,2.1269934027945113e-07,0.001048856040807335
3.0246492985971942,6.838886810111116e-07,0.0020766370573336084
3.029058116232465,2.1056410228093664e-06,0.003981994921144821
3.033466933867736,6.208514108699333e-06,0.007399456452328215
3.037875751503006,1.75316364850327e-05,0.013332138146406726
3.0422845691382765,4.741525945789658e-05,0.023303201465176497
3.0466933867735473,0.0001228306511511436,0.03953045706974731
3.0511022044088176,0.00030480579417755066,0.06510315127103063
