space_group,n_formula,material,n_primitive,mp_id,source,kappa_exp,polycrystalline,ref_exp,comment
61,2,ZnSb,16,mp-753,Ramprasad,3.5,?,Bjerg: https://journals.aps.org/prb/pdf/10.1103/PhysRevB.89.024304,Bandgap problem
62,2,SnSe,8,mp-691,Toberer,0.6,n,Zhao,
62,2,SnSe,8,mp-691,Toberer,1.3,y,Wei,
62,2,SnSe,8,mp-691,Toberer,1,y,Sassi,
62,3,BaSi2,24,mp-1477,Springer,1.38,y,Hashimoto,Tab. 2
62,3,BaSi2,24,mp-1477,Springer,1.6,y,Spitzer,Tab. 5
62,4,CuSbSe2,,mp-20331,Springer,2,y,Li,"Fig. 5, Sec. C"
122,4,AgGaS2,8,mp-5342,Ramprasad,1.4,n,Beasley,
186,2,AgI,4,mp-22894,Seko,0.3,y,Goetz,
186,2,CdS,4,mp-672,Ramprasad,16,n,MorelliSlack,
186,2,CdSe,4,mp-1070,ICSD_exp,9,n,Feser,cited in Yang who studies ZB
186,2,CdSe,4,mp-1070,ICSD_exp,9,y,Slack,"Value in Slack cited from P. L. Jacobs and R. K. Irey, in Proceedings of the
Ninth Conference on Thermal Conductivity, edited by H.
R. Shanks (U. S. AEC, Oak Ridge, Tenn. , 1970),
D. T. O. Conf. No. 691002, p. 25.
"
186,2,ZnO,4,mp-2133,Ramprasad,60,n,MorelliSlack,
206,5,Sc2O3,40,mp-216,Ramprasad,17,y,Li,unclear where data comes from 17 W/mK is only cited
216,2,AlAs,2,mp-2172,Ramprasad,98,y,MorelliSlack,
216,2,CdTe,2,mp-406,Seko,8,n,Su,
216,2,CuBr,2,mp-22913,Ramprasad,1.25,?,CRC,unclear
216,2,CuCl,2,mp-22914,Ramprasad,0.84,y,Slack/Andersson,
216,2,CuI,2,mp-22895,Ramprasad,0.5,t,Grundmann,
216,2,CuI,2,mp-22895,Ramprasad,1.68,?,CRC,
216,2,GaAs,2,mp-2534,Ramprasad,45,n,MorelliSlack,
216,2,InAs,2,mp-20305,Ramprasad,30,n,MorelliSlack,
216,2,ZnS,2,mp-10695,Ramprasad,27,n,MorelliSlack,
216,2,ZnSe,2,mp-1190,Ramprasad,19,n,MorelliSlack,
216,2,ZnTe,2,mp-2176,Ramprasad,18,n,MorelliSlack,
221,2,CsBr,2,mp-22906,Ramprasad,0.94,n,Gerlich,
221,2,CsCl,2,mp-22865,Ramprasad,1,n,Gerlich,
221,2,CsCl,2,mp-22865,Ramprasad,1,n,Sist,
221,2,CsI,2,mp-1056920,Ramprasad,1.1,n,Gerlich,
221,5,KMgF3,5,mp-3448,Roekeghem,10,n,Martin,
221,5,KZnF3,5,mp-5878,Roekeghem,5.5,n,Suemune,
221,5,SrTiO3,5,mp-5229,Toberer,11.5,n,Muta,
221,5,SrTiO3,5,mp-5229,Toberer,10,n,Popuri,
225,2,AgBr,2,mp-23231,Ramprasad,1.1,n,Kamram,
225,2,AgCl,2,mp-22922,Ramprasad,0.9,y,Ross,
225,2,AgCl,2,mp-22922,Ramprasad,1,n,Ashqari,
225,2,BaO,2,mp-1342,Ramprasad,2.3,n,MorelliSlack,
225,2,CaO,2,mp-2605,AAPL,27,n,MorelliSlack,
225,2,KBr,2,mp-23251,Ramprasad,2.8,y,Andersson,
225,2,KBr,2,mp-23251,Ramprasad,3.4,n,MorelliSlack,
225,2,KCl,2,mp-23193,Ramprasad,6.5,y,Andersson,
225,2,KCl,2,mp-23193,Ramprasad,7.1,n,MorelliSlack,
225,2,KF,2,mp-463,Ramprasad,6.43,n,MorelliSlack,
225,2,KI,2,mp-22898,Ramprasad,1.96,y,Andersson,
225,2,KI,2,mp-22898,Ramprasad,2.6,n,MorelliSlack,
225,2,LiBr,2,mp-23259,Ramprasad,1.83,y,Hakansson,
225,2,LiF,2,mp-1138,Ramprasad,17.6,n,MorelliSlack,
225,2,LiH,2,mp-23703,Ramprasad,15,n,MorelliSlack,
225,2,MgO,2,mp-1265,Ramprasad,60,n,MorelliSlack,
225,2,MgO,2,mp-1265,Ramprasad,68,n,MacPherson,
225,2,MgO,2,mp-1265,Ramprasad,66,n,Touloukian,MacPherson paper
225,2,NaBr,2,mp-22916,Ramprasad,2.3,y,Sigalas,
225,2,NaBr,2,mp-22916,Ramprasad,2.8,n,MorelliSlack,
225,2,NaCl,2,mp-22862,Ramprasad,6,y,Hakansson,
225,2,NaCl,2,mp-22862,Ramprasad,7.1,n,MorelliSlack,
225,2,NaCl,2,mp-22862,Ramprasad,6.06,n,MacPherson,
225,2,NaCl,2,mp-22862,Ramprasad,6.9,n,Touloukian,MacPherson paper
225,2,NaCl,2,mp-22862,Ramprasad,6.57,n,Yang,Tab. 4.1
225,2,NaF,2,mp-682,Ramprasad,16.5,n,MorelliSlack,
225,2,NaI,2,mp-23268,Ramprasad,1.33,n,Hakansson,
225,2,NaI,2,mp-23268,Ramprasad,1.8,n,MorelliSlack,
225,2,RbBr,2,mp-22867,Ramprasad,3.38,y,Andersson,
225,2,RbBr,2,mp-22867,Ramprasad,3.8,n,MorelliSlack,
225,2,RbCl,2,mp-23295,Ramprasad,2.41,y,Andersson,
